# This is an exemplary isentrope for an opx mantle composition, exported
# from HeFESTo, for a surface adiabatic temperature of 1600 K. Temperature
# column contains entropy for this table.
#
# POINTS: 1401
# depth (m), pressure (Pa), entropy (J/kg/K), density (kg/m^3)
depth             pressure          temperature       density
1.3372e+06 5.43e+10 2534.05 4436.16
1.33932e+06 5.44e+10 2534.05 4437.44
1.34143e+06 54500000000 2534.05 4438.72
1.34354e+06 54600000000 2534.05 4440
1.34566e+06 54700000000 2534.05 4441.28
1.34777e+06 5.48e+10 2534.05 4442.56
1.34988e+06 5.49e+10 2534.05 4443.84
1.352e+06 55000000000 2534.05 4445.11
1.35411e+06 55100000000 2534.05 4446.39
1.35622e+06 55200000000 2534.05 4447.66
1.35834e+06 5.53e+10 2534.05 4448.94
1.36045e+06 5.54e+10 2534.05 4450.21
1.36257e+06 55500000000 2534.05 4451.48
1.36468e+06 55600000000 2534.05 4452.75
1.36679e+06 55700000000 2534.05 4454.02
1.36891e+06 5.58e+10 2534.05 4455.29
1.37102e+06 5.59e+10 2534.05 4456.56
1.37311e+06 56000000000 2534.05 4457.83
1.3752e+06 56100000000 2534.05 4459.1
1.37729e+06 56200000000 2534.05 4460.37
1.37938e+06 5.63e+10 2534.05 4461.63
1.38147e+06 5.64e+10 2534.05 4462.9
1.38356e+06 56500000000 2534.05 4464.16
1.38565e+06 56600000000 2534.05 4465.42
1.38774e+06 56700000000 2534.05 4466.69
1.38983e+06 5.68e+10 2534.05 4467.95
1.39192e+06 5.69e+10 2534.05 4469.21
1.39401e+06 57000000000 2534.05 4470.47
1.3961e+06 57100000000 2534.05 4471.73
1.39819e+06 57200000000 2534.05 4472.98
1.40028e+06 5.73e+10 2534.05 4474.24
1.40237e+06 5.74e+10 2534.05 4475.5
1.40446e+06 57500000000 2534.05 4476.75
1.40655e+06 57600000000 2534.05 4478.01
1.40865e+06 57700000000 2534.05 4479.26
1.41074e+06 5.78e+10 2534.05 4480.52
1.41283e+06 5.79e+10 2534.05 4481.77
1.41492e+06 58000000000 2534.05 4483.02
1.41701e+06 58100000000 2534.05 4484.27
1.4191e+06 58200000000 2534.05 4485.52
1.42119e+06 5.83e+10 2534.05 4486.77
1.42328e+06 5.84e+10 2534.05 4488.02
1.42537e+06 58500000000 2534.05 4489.27
1.42746e+06 58600000000 2534.05 4490.51
1.42955e+06 58700000000 2534.05 4491.76
1.43164e+06 5.88e+10 2534.05 4493
1.43373e+06 5.89e+10 2534.05 4494.25
1.43582e+06 59000000000 2534.05 4495.49
1.43791e+06 59100000000 2534.05 4496.73
1.44e+06 59200000000 2534.05 4497.98
1.44209e+06 5.93e+10 2534.05 4499.22
1.44418e+06 5.94e+10 2534.05 4500.46
1.44627e+06 59500000000 2534.05 4501.7
1.44836e+06 59600000000 2534.05 4502.94
1.45045e+06 59700000000 2534.05 4504.17
1.45254e+06 5.98e+10 2534.05 4505.41
1.45463e+06 5.99e+10 2534.05 4506.65
1.45672e+06 60000000000 2534.05 4507.88
1.45881e+06 60100000000 2534.05 4509.12
1.4609e+06 60200000000 2534.05 4510.35
1.46299e+06 6.03e+10 2534.05 4511.59
1.46508e+06 6.04e+10 2534.05 4512.82
1.46717e+06 60500000000 2534.05 4514.05
1.46927e+06 60600000000 2534.05 4515.28
1.47135e+06 60700000000 2534.05 4516.51
1.47342e+06 6.08e+10 2534.05 4517.74
1.47549e+06 6.09e+10 2534.05 4518.97
1.47755e+06 61000000000 2534.05 4520.2
1.47962e+06 61100000000 2534.05 4521.42
1.48169e+06 61200000000 2534.05 4522.65
1.48376e+06 6.13e+10 2534.05 4523.88
1.48582e+06 6.14e+10 2534.05 4525.1
1.48789e+06 61500000000 2534.05 4526.32
1.48996e+06 61600000000 2534.05 4527.55
1.49202e+06 61700000000 2534.05 4528.77
1.49409e+06 6.18e+10 2534.05 4529.99
1.49616e+06 6.19e+10 2534.05 4531.21
1.49823e+06 62000000000 2534.05 4532.43
1.50029e+06 62100000000 2534.05 4533.65
1.50236e+06 62200000000 2534.05 4534.87
1.50443e+06 6.23e+10 2534.05 4536.09
1.5065e+06 6.24e+10 2534.05 4537.31
1.50856e+06 62500000000 2534.05 4538.52
1.51063e+06 62600000000 2534.05 4539.74
1.5127e+06 62700000000 2534.05 4540.95
1.51476e+06 6.28e+10 2534.05 4542.17
1.51683e+06 6.29e+10 2534.05 4543.38
1.5189e+06 63000000000 2534.05 4544.59
1.52097e+06 63100000000 2534.05 4545.81
1.52303e+06 63200000000 2534.05 4547.02
1.5251e+06 6.33e+10 2534.05 4548.23
1.52717e+06 6.34e+10 2534.05 4549.44
1.52924e+06 63500000000 2534.05 4550.65
1.5313e+06 63600000000 2534.05 4551.85
1.53337e+06 63700000000 2534.05 4553.06
1.53544e+06 6.38e+10 2534.05 4554.27
1.53751e+06 6.39e+10 2534.05 4555.47
1.53957e+06 64000000000 2534.05 4556.68
1.54164e+06 6.41e+10 2534.05 4557.88
